An 1862- Octobre,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,9032.8,17314.4,24444.6,18538.9,16423.4,,85754.1
Opéra-Comique,12195,30340,29657.75,28004,22281,,122477.75
Théâtre des Italiens,17411.55,20645.55,22052.08,28450.95,17601.65,,106161.78
Odéon,2186.25,4535.75,5039.75,5122.75,4800.75,,21685.25
Théâtre-Lyrique,,,,,4701,,4701
Vaudeville,1933,5512.5,13609.5,12659,9810,,43524
Théâtre des Variétés,9444.5,14034.5,12375,13514.5,10139,,59507.5
Gymnase,6916,13187.25,10635.25,12932.25,9940.75,,53611.5
Palais-Royal,5677.05,15788.35,22411.91,22122.65,17379.3,,83379.26
Porte Saint-Martin,21620.75,38329.5,37478,35313,29863.75,,162605
Gaîté,16537.4,28792.75,,18756.5,16025.35,,80112
Ambigu-Comique,5739,11432.75,,12256.4,9495.75,,38923.9
Théâtre Impérial du Cirque,27979.75,44854.5,,29142.25,23963.75,,125940.25
Folies-Dramatiques,,,,,,,
Délassement Comiques,1126,1565,9113,9040.5,6677,,27521.5
Luxembourg,,,24888.5,,,,24888.5
Beaumarchais,,,10061.5,,,,10061.5
Bouffes Parisiens,7212,10092.5,7496.5,17525.5,1902.5,,44229
Folies Nouvelles,,,,,,,
Total,145011.05,256425.3,229263.34,263379.15,201004.95,,1095083.79
