An 1862,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,180666.55,208972.25,229685.55,223947.35,211710.3,,1054982
Février,47732.95,222142.6,224189.36,203264.95,174080.7,,871410.56
Mars,39485,268902.004,222173.1,186173.9,241476.89,65028.75,1023239.644
Avril,155777.05,186028.45,141840.59,199833.9,117850.8,,801330.79
Mai,49458.15,124286.3,169729.6,152402.35,130040.6,,625917
Juin,97910.85,134194.35,127605.15,115009.5,31289.45,,506009.3
Juillet,80466.75,124126.35,82356.55,66360.8,43920.65,,397231.1
Août,12753.9,76492.74,88149.7,147791.05,150103.25,28643.85,503934.49
Septembre,151544.45,190712.8,173670.05,187651.45,83333.75,,786912.5
Octobre,145011.05,256425.3,229263.34,263379.15,201004.95,,1095083.79
Novembre,63201,272020.4,280786.45,301320.82,263703.65,63031.6,1244063.92
Décembre,227643.9,259860.9,243487.2,269086.71,136147.98,,1136226.69
Total an,1251651.6,2324164.444,2212936.64,2316221.93,1784662.97,156704.2,10046341.784
