Théâtres,1862-05-25,1862-05-26,1862-05-27,1862-05-28,1862-05-29,1862-05-30,1862-05-31,25 - 31 mai
Opéra,,,,,,,,
Théâtre Français,1447.4,2180.9,2718.2,1595.2,1603.3,1788.7,2154.8,13488.5
Opéra-Comique,2113.5,1341.5,6502,3111,6247.5,1710.5,6249.5,27275.5
Théâtre des Italiens,,,,,,,,
Odéon,831.5,674.5,822.25,765.75,844.5,933,989.75,5861.25
Théâtre-Lyrique,2235,264,2809,387.5,811.75,,1184.25,7691.5
Vaudeville,703.5,1055.5,1334,980,640,862.5,756.5,6332
Théâtre des Variétés,502,806,1531,1238.5,596,1037.5,906,6617
Gymnase,618.75,1066.25,1297.75,,530,420.5,696.75,4630
Palais-Royal,815.1,1224.95,2011.25,1312.1,611.6,1210.4,1004.85,8190.25
Porte Saint-Martin,1118,515.5,441,,1350.25,,1091,4515.75
Gaîté,1935.5,1410,1630.4,1224,1113.8,850.5,976.75,9140.95
Ambigu-Comique,1802,2100.75,2713.75,2175,1801.75,1704.5,1531.5,13829.25
Théâtre Impérial du Cirque,2346,3132.75,3441,3333.25,2425.15,2737.25,2272.25,19687.65
Folies-Dramatiques,612.45,500.9,561.25,312.3,379.4,236.2,178.5,2781
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,17080.7,16273.5,27812.85,16434.6,18955,13491.55,19992.4,130040.6
