Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Balzac; Illusions perdues; Due specie di Librai; chez Lucien; rue de Cluny; 5; 48.850863, 2.344883; maison; Lucien, Doguereau; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Un primo amico; biblioteca di Sainte-Geneviève; 10 place du Panthéon; 5; 48.847471, 2.346235; bibliothèque; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; Un primo amico; rue des Grès-rue de la Harpe; rue de la Harpe; 5; 48.852764, 2.344623; rue; Lucien, Daniel D’Arthez; inexacte; vécu; gauche; réel
Balzac; Illusions perdues; Un primo amico; Lussemburgo; 15 rue de Vaugirard; 6; 48.849216, 2.336455; jardin publique; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Un primo amico; chez Daniel D’Arthez; rue des Quatre-Vents; 6; 48.851742, 2.337734; maison; Lucien, Daniel D’Arthez; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Un primo amico; Edon; 18 rue de l’Ancienne-Comédie; 6; 48.852843, 2.338616; restaurant; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Il Cenacolo; Lussemburgo; 15 rue de Vaugirard; 6; 48.849216, 2.336455; jardin publique; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Il Cenacolo; Flicoteaux; 22 rue Champollion; 5; 48.848896, 2.342354; restaurant; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Il Cenacolo; chez Daniel D’Arthez; rue des Quatre-Vents; 6; 48.851742, 2.337734; maison; Lucien, Daniel D’Arthez, Horace Bianchon, Léon Giraud, Joseph Brindeau, Fulgence Ridal, Michel Chrestien, Meyraux, Cuvier, Geoffroy-Saint-Hilaire; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; I fiori della miseria; Doguereau; rue de Marengo; 1; 48.861824, 2.339311; libraire; Lucien; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; I fiori della miseria; chez Daniel D’Arthez; rue des Quatre-Vents; 6; 48.851742, 2.337734; maison; Lucien, amici del Cenacolo; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; La facciata del giornale; «petit journal»; rue Saint-Fiacre; 2; 48.869873, 2.345342; rédaction; Lucien, Coloquinta; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; Boulevard; boulevard Poissonnière; 2; 48.87125, 2.344532; rue; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; La facciata del giornale; «petit journal»; rue Saint-Fiacre; 2; 48.869873, 2.345342; rédaction; Lucien, Coloquinta; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; chez Finot; rue Feydeau; 2; 48.870059, 2.341541; maison; Lucien; inexacte; cité; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; chez Finot; rue Feydeau; 2; 48.870059, 2.341541; maison; Lucien; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; Flicoteaux; 22 rue Champollion; 5; 48.848896, 2.342354; restaurant; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; I sonetti; Flicoteaux; 22 rue Champollion; 5; 48.848896, 2.342354; restaurant; Lucien, Daniel D’Arthez, Lousteau; exact; vécu; gauche; réel
Balzac; Illusions perdues; I sonetti; Lussemburgo; 15 rue de Vaugirard; 6; 48.849216, 2.336455; jardin publique; Lucien, Lousteau; exact; vécu; gauche; réel
Balzac; Illusions perdues; Un buon consiglio; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; 48.864101, 2.33732; libraire; Lucien, Lousteau; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Un buon consiglio; Café Voltaire; 1 place de l’Odéon; 6; 48.850087, 2.338888; café; Finot; exact; cité; gauche; réel
Balzac; Illusions perdues; Un buon consiglio; Panorama-Dramatique; 48 boulevard du Temple; 3; 48.865942, 2.365551; théâtre; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Un buon consiglio; chez Lousteau; rue de la Harpe; 5; 48.852127, 2.344336; maison; Lucien, Lousteau; inexacte; cité; gauche; fictif
Balzac; Illusions perdues; Terza specie di libraio; chez Lucien; rue de Cluny; 5; 48.850863, 2.344883; maison; Lucien; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Terza specie di libraio; chez Lousteau; rue de la Harpe; 5; 48.852127, 2.344336; maison; Lucien, Lousteau, Barbet; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Terza specie di libraio; chez Florine; rue René-Boulanger; 10; 48.868515, 2.360085; maison; Lucien, Lousteau; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Terza specie di libraio; Galerie de Bois; Galerie d’Orléans; 1; 48.864101, 2.33732; rue; Lucien, Lousteau; inexacte; vécu; droite; réel
